id,utcDate,status,matchday,stage,group,lastUpdated,referees,area.name,area.code,area.flag,competition.name,competition.code,competition.type,competition.emblem,season.id,season.startDate,season.endDate,season.currentMatchday,season.winner,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,homeTeam.crest,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,awayTeam.crest,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away,odds.msg,score.regularTime.home,score.regularTime.away,score.extraTime.home,score.extraTime.away,score.penalties.home,score.penalties.away,year,month
537327,2026-06-11 19:00:00+00:00,FINISHED,1.0,GROUP_STAGE,GROUP_A,2026-07-03T15:20:13Z,"[{'id': 11412, 'name': 'Wilton Sampaio', 'type': 'REFEREE', 'nationality': 'Brazil'}]",World,INT,,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,2398,2026-06-11,2026-07-19,3,,769.0,Mexico,Mexico,MEX,https://crests.football-data.org/769.svg,774.0,South Africa,South Africa,RSA,https://crests.football-data.org/9396.svg,HOME_TEAM,REGULAR,2.0,0.0,1.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,,2026,6
537328,2026-06-12 02:00:00+00:00,FINISHED,1.0,GROUP_STAGE,GROUP_A,2026-07-03T15:20:13Z,"[{'id': 276653, 'name': 'Amin Omar', 'type': 'REFEREE', 'nationality': 'Egypt'}]",World,INT,,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,2398,2026-06-11,2026-07-19,3,,772.0,South Korea,Korea Republic,KOR,https://crests.football-data.org/772.png,798.0,Czechia,Czechia,CZE,https://crests.football-data.org/798.svg,HOME_TEAM,REGULAR,2.0,1.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,,2026,6
537333,2026-06-12 19:00:00+00:00,FINISHED,1.0,GROUP_STAGE,GROUP_B,2026-07-03T15:20:13Z,"[{'id': 57301, 'name': 'Facundo Tello', 'type': 'REFEREE', 'nationality': 'Argentina'}]",World,INT,,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,2398,2026-06-11,2026-07-19,3,,828.0,Canada,Canada,CAN,https://crests.football-data.org/canada.svg,1060.0,Bosnia-Herzegovina,Bosnia-H.,BIH,https://crests.football-data.org/bosnia.svg,DRAW,REGULAR,1.0,1.0,0.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,,2026,6
537345,2026-06-13 01:00:00+00:00,FINISHED,1.0,GROUP_STAGE,GROUP_D,2026-07-03T15:20:13Z,"[{'id': 43899, 'name': 'Danny Makkelie', 'type': 'REFEREE', 'nationality': 'Netherlands'}]",World,INT,,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,2398,2026-06-11,2026-07-19,3,,771.0,United States,USA,USA,https://crests.football-data.org/usa.svg,761.0,Paraguay,Paraguay,PAR,https://crests.football-data.org/761.svg,HOME_TEAM,REGULAR,4.0,1.0,3.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,,2026,6
537334,2026-06-13 19:00:00+00:00,FINISHED,1.0,GROUP_STAGE,GROUP_B,2026-07-03T15:20:13Z,"[{'id': 190002, 'name': 'Said Martinez', 'type': 'REFEREE', 'nationality': 'Honduras'}]",World,INT,,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,2398,2026-06-11,2026-07-19,3,,8030.0,Qatar,Qatar,QAT,https://crests.football-data.org/8030.svg,788.0,Switzerland,Switzerland,SUI,https://crests.football-data.org/788.svg,DRAW,REGULAR,1.0,1.0,0.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,,2026,6
537339,2026-06-13 22:00:00+00:00,FINISHED,1.0,GROUP_STAGE,GROUP_C,2026-07-03T15:20:13Z,"[{'id': 9351, 'name': 'Slavko Vinčič', 'type': 'REFEREE', 'nationality': 'Slovenia'}]",World,INT,,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,2398,2026-06-11,2026-07-19,3,,764.0,Brazil,Brazil,BRA,https://crests.football-data.org/764.svg,815.0,Morocco,Morocco,MAR,https://crests.football-data.org/morocco.svg,DRAW,REGULAR,1.0,1.0,1.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,,2026,6
537340,2026-06-14 01:00:00+00:00,FINISHED,1.0,GROUP_STAGE,GROUP_C,2026-07-03T15:20:13Z,"[{'id': 190017, 'name': 'Mustapha Ghorbal', 'type': 'REFEREE', 'nationality': None}]",World,INT,,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,2398,2026-06-11,2026-07-19,3,,836.0,Haiti,Haiti,HAI,https://crests.football-data.org/haiti.svg,8873.0,Scotland,Scotland,SCO,https://crests.football-data.org/814.svg,AWAY_TEAM,REGULAR,0.0,1.0,0.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,,2026,6
537346,2026-06-14 04:00:00+00:00,FINISHED,1.0,GROUP_STAGE,GROUP_D,2026-07-03T15:20:13Z,"[{'id': 28805, 'name': 'Jesús Valenzuela', 'type': 'REFEREE', 'nationality': 'Venezuela'}]",World,INT,,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,2398,2026-06-11,2026-07-19,3,,779.0,Australia,Australia,AUS,https://crests.football-data.org/779.svg,803.0,Turkey,Turkey,TUR,https://crests.football-data.org/803.svg,HOME_TEAM,REGULAR,2.0,0.0,1.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,,2026,6
537351,2026-06-14 17:00:00+00:00,FINISHED,1.0,GROUP_STAGE,GROUP_E,2026-07-03T15:20:13Z,"[{'id': 289426, 'name': 'Jalal Jayed', 'type': 'REFEREE', 'nationality': 'Morocco'}]",World,INT,,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,2398,2026-06-11,2026-07-19,3,,759.0,Germany,Germany,GER,https://crests.football-data.org/759.svg,9460.0,Curaçao,Curaçao,CUW,https://crests.football-data.org/curacao.svg,HOME_TEAM,REGULAR,7.0,1.0,3.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,,2026,6
537357,2026-06-14 20:00:00+00:00,FINISHED,1.0,GROUP_STAGE,GROUP_F,2026-07-03T15:20:13Z,"[{'id': 76608, 'name': 'Ismail Elfath', 'type': 'REFEREE', 'nationality': 'United States'}]",World,INT,,FIFA World Cup,WC,CUP,https://crests.football-data.org/wm26.png,2398,2026-06-11,2026-07-19,3,,8601.0,Netherlands,Netherlands,NED,https://crests.football-data.org/8601.svg,766.0,Japan,Japan,JPN,https://crests.football-data.org/766.svg,DRAW,REGULAR,2.0,2.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,,2026,6
