team,matches_played,wins,draws,goals_scored,goals_conceded,losses,win_rate,draw_rate,loss_rate,avg_goals_scored,avg_goals_conceded,goal_difference
Abkhazia,33.0,15.0,13.0,54.0,26.0,5.0,0.45454545454545453,0.3939393939393939,0.15151515151515152,1.6363636363636365,0.7878787878787878,28.0
Afghanistan,147.0,36.0,34.0,142.0,293.0,77.0,0.24489795918367346,0.23129251700680273,0.5238095238095238,0.9659863945578231,1.9931972789115646,-151.0
Albania,398.0,110.0,84.0,377.0,589.0,204.0,0.27638190954773867,0.21105527638190955,0.5125628140703518,0.9472361809045227,1.479899497487437,-212.0
Alderney,135.0,5.0,2.0,73.0,620.0,128.0,0.037037037037037035,0.014814814814814815,0.9481481481481482,0.5407407407407407,4.592592592592593,-547.0
Algeria,621.0,289.0,163.0,958.0,622.0,169.0,0.46537842190016104,0.26247987117552335,0.2721417069243156,1.5426731078904992,1.001610305958132,336.0
Ambazonia,6.0,0.0,1.0,3.0,17.0,5.0,0.0,0.16666666666666666,0.8333333333333334,0.5,2.8333333333333335,-14.0
American Samoa,55.0,4.0,2.0,33.0,357.0,49.0,0.07272727272727272,0.03636363636363636,0.8909090909090909,0.6,6.490909090909091,-324.0
Andalusia,13.0,8.0,4.0,25.0,14.0,1.0,0.6153846153846154,0.3076923076923077,0.07692307692307693,1.9230769230769231,1.0769230769230769,11.0
Andorra,229.0,14.0,31.0,75.0,543.0,184.0,0.0611353711790393,0.13537117903930132,0.8034934497816594,0.32751091703056767,2.37117903930131,-468.0
Angola,415.0,141.0,148.0,470.0,428.0,126.0,0.3397590361445783,0.3566265060240964,0.3036144578313253,1.1325301204819278,1.0313253012048194,42.0
Anguilla,91.0,7.0,9.0,52.0,349.0,75.0,0.07692307692307693,0.0989010989010989,0.8241758241758241,0.5714285714285714,3.8351648351648353,-297.0
Antigua and Barbuda,231.0,71.0,43.0,306.0,423.0,117.0,0.30735930735930733,0.18614718614718614,0.5064935064935064,1.3246753246753247,1.8311688311688312,-117.0
Arameans Suryoye,10.0,5.0,2.0,16.0,12.0,3.0,0.5,0.2,0.3,1.6,1.2,4.0
Argentina,1073.0,595.0,257.0,2036.0,1076.0,221.0,0.554520037278658,0.23951537744641194,0.2059645852749301,1.8974836905871388,1.0027958993476236,960.0
Armenia,272.0,65.0,57.0,274.0,499.0,150.0,0.23897058823529413,0.20955882352941177,0.5514705882352942,1.0073529411764706,1.8345588235294117,-225.0
Artsakh,11.0,6.0,2.0,32.0,14.0,3.0,0.5454545454545454,0.18181818181818182,0.2727272727272727,2.909090909090909,1.2727272727272727,18.0
Aruba,152.0,32.0,31.0,199.0,357.0,89.0,0.21052631578947367,0.20394736842105263,0.5855263157894737,1.3092105263157894,2.348684210526316,-158.0
Asturias,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0
Australia,585.0,297.0,124.0,1169.0,621.0,164.0,0.5076923076923077,0.21196581196581196,0.28034188034188035,1.9982905982905983,1.0615384615384615,548.0
Austria,864.0,368.0,185.0,1547.0,1324.0,311.0,0.42592592592592593,0.21412037037037038,0.3599537037037037,1.7905092592592593,1.5324074074074074,223.0
Aymara,2.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,0.5,2.0,-3.0
Azerbaijan,310.0,61.0,79.0,238.0,520.0,170.0,0.1967741935483871,0.25483870967741934,0.5483870967741935,0.7677419354838709,1.6774193548387097,-282.0
Bahamas,67.0,14.0,10.0,75.0,213.0,43.0,0.208955223880597,0.14925373134328357,0.6417910447761194,1.1194029850746268,3.1791044776119404,-138.0
Bahrain,584.0,207.0,154.0,725.0,756.0,223.0,0.3544520547945205,0.2636986301369863,0.3818493150684932,1.2414383561643836,1.2945205479452055,-31.0
Bangladesh,305.0,80.0,66.0,276.0,556.0,159.0,0.26229508196721313,0.21639344262295082,0.521311475409836,0.9049180327868852,1.8229508196721311,-280.0
Barawa,12.0,3.0,0.0,16.0,46.0,9.0,0.25,0.0,0.75,1.3333333333333333,3.8333333333333335,-30.0
Barbados,302.0,94.0,67.0,393.0,527.0,141.0,0.31125827814569534,0.22185430463576158,0.46688741721854304,1.3013245033112584,1.7450331125827814,-134.0
Basque Country,64.0,39.0,13.0,164.0,89.0,12.0,0.609375,0.203125,0.1875,2.5625,1.390625,75.0
Belarus,315.0,94.0,80.0,363.0,464.0,141.0,0.2984126984126984,0.25396825396825395,0.44761904761904764,1.1523809523809523,1.4730158730158731,-101.0
Belgium,858.0,384.0,183.0,1559.0,1294.0,291.0,0.44755244755244755,0.21328671328671328,0.33916083916083917,1.817016317016317,1.508158508158508,265.0
Belize,121.0,31.0,20.0,133.0,233.0,70.0,0.256198347107438,0.1652892561983471,0.5785123966942148,1.0991735537190082,1.9256198347107438,-100.0
Benin,325.0,84.0,79.0,352.0,561.0,162.0,0.25846153846153846,0.24307692307692308,0.49846153846153846,1.083076923076923,1.7261538461538461,-209.0
Bermuda,198.0,68.0,33.0,328.0,349.0,97.0,0.3434343434343434,0.16666666666666666,0.4898989898989899,1.6565656565656566,1.7626262626262625,-21.0
Bhutan,110.0,11.0,7.0,61.0,402.0,92.0,0.1,0.06363636363636363,0.8363636363636363,0.5545454545454546,3.6545454545454548,-341.0
